Comment,Designator,Footprint,LCSC,Quantity
240,R19,R_0402_1005Metric,C114755,1
1k,"R17,R18",R_0402_1005Metric,C11702,2
FT230XQ,U4,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,C128629,1
100u,C65,C_1206_3216Metric,C15008,1
10n,"C54,C62,C64,C80",C_0402_1005Metric,C15195,4
XC7A35T-FGG484,U1,Xilinx_FGG484,C1521727,1
100n,"C51,C52,C53,C57,C84,C85,C86,C87",C_0402_1005Metric,C1525,8
47p,"C55,C56",C_0402_1005Metric,C1567,2
68,"R22,R23,R24,R25,R26,R27,R28,R29,R39,R40,R41,R42,R43,R44,R45,R46,R56,R57,R58,R59,R60,R61,R62,R63",R_0402_1005Metric,C163455,24
0,"R1,R10,R12,R2,R3,R4,R5,R6,R72,R73,R74,R75,R8,R86,R9",R_0402_1005Metric,C17168,15
27.4,"R11,R13",R_0402_1005Metric,C226391,2
LED,"D1,D2",LED_0805_2012Metric,C2297,2
4.7u,"C12,C13,C16,C17,C2,C26,C27,C3,C30,C31,C40,C41,C66,C67,C72,C73,C83,C88",C_0402_1005Metric,C23733,18
100,"R14,R15,R16,R20",R_0402_1005Metric,C25076,4
100k,"R21,R30,R31,R32,R33,R34,R35,R36,R37,R38,R47,R48,R49,R50,R51,R52,R53,R54,R55,R64,R65,R66,R67,R68,R69,R70,R71,R76,R77,R78,R79,R81,R82,R83",R_0402_1005Metric,C25741,34
10k,R7,R_0402_1005Metric,C25744,1
MT41K256M16TW-107:P,U6,FBGA96_8X14_MRN,C2803004,1
SLS0391FR1A1GD_C2913076,"LED1,LED2,LED3",LED-SEG-SMD_10P-L13.0-W9.8-P1.88-S13.70-BL,C2913076,3
USB-MR-D-037,USB1,MICRO-USB-SMD_DEALON_USB-MR-D-037,C2927008,1
TS-1187A-B-A-B,"SW2,SW3,SW4",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884,3
0.47u,"C10,C11,C18,C19,C20,C21,C22,C23,C24,C25,C32,C33,C34,C35,C36,C37,C38,C39,C4,C5,C6,C68,C69,C7,C70,C74,C75,C76,C77,C78,C79,C8,C82,C9",C_0402_1005Metric,C47339,34
878321420,J3,CONN_87832-1420_MOL,C492354,1
2N7002M3T5G-ES,"Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q2,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q3,Q4,Q5,Q6,Q7,Q8,Q9",SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,C5224234,24
1u,"C47,C58,C59,C60,C61,C63",C_0402_1005Metric,C52923,6
SMXS-04K-TP,SW1,SW-SMD_SMXS-04K-TP,C5439763,1
TPUSBLC6-4SC6,U3,SOT-23-6_Handsoldering,C558419,1
TPNTK3139PT1G,"Q1,Q10,Q19",SOT-723_L1.2-W0.8-P0.40-LS1.2-BR,C558623,3
QSH-030-01-X-D-A-XX,"J1,J2",SAMTEC_QSH-030-01-X-D-A-XX,C5714556,2
22u,"C44,C45,C46,C48,C49,C50",C_0603_1608Metric,C59461,6
FerriteBead,FB1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C85813,1
2.2u,"L1,L2,L3,L4",L_Bourns-SRN4018,C913207,4
47u,"C1,C14,C15,C28,C29,C42,C43,C71,C81",C_1206_3216Metric,C96123,9
MP5470GL-0000-P,U2,QFN-3x4_MP5470_MNP,,1
MX25L3233FZN,U5,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,,1
