Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47u,C_1206_3216Metric,178.5,-108.25,90.0,top
C10,0.47u,C_0402_1005Metric,172.25,-96.5,0.0,top
C11,0.47u,C_0402_1005Metric,172.25,-95.25,0.0,top
C12,4.7u,C_0402_1005Metric,172.25,-97.75,0.0,top
C13,4.7u,C_0402_1005Metric,172.25,-99.0,0.0,top
C14,47u,C_1206_3216Metric,173.75,-104.0,0.0,top
C15,47u,C_1206_3216Metric,173.5,-85.25,0.0,top
C16,4.7u,C_0402_1005Metric,172.25,-87.75,0.0,top
C17,4.7u,C_0402_1005Metric,172.25,-89.0,0.0,top
C18,0.47u,C_0402_1005Metric,172.25,-92.75,0.0,top
C19,0.47u,C_0402_1005Metric,172.25,-91.5,0.0,top
C2,4.7u,C_0402_1005Metric,167.25,-107.25,-90.0,top
C20,0.47u,C_0402_1005Metric,172.25,-94.0,0.0,top
C21,0.47u,C_0402_1005Metric,172.25,-90.25,0.0,top
C22,0.47u,C_0402_1005Metric,168.75,-78.75,90.0,top
C23,0.47u,C_0402_1005Metric,172.25,-83.0,0.0,top
C24,0.47u,C_0402_1005Metric,167.5,-78.75,90.0,top
C25,0.47u,C_0402_1005Metric,172.25,-81.75,0.0,top
C26,4.7u,C_0402_1005Metric,170.0,-78.75,90.0,top
C27,4.7u,C_0402_1005Metric,172.25,-80.5,0.0,top
C28,47u,C_1206_3216Metric,173.75,-77.75,0.0,top
C29,47u,C_1206_3216Metric,144.5,-108.75,-90.0,top
C3,4.7u,C_0402_1005Metric,166.0,-107.25,-90.0,top
C30,4.7u,C_0402_1005Metric,149.75,-107.25,-90.0,top
C31,4.7u,C_0402_1005Metric,151.0,-107.25,-90.0,top
C32,0.47u,C_0402_1005Metric,153.5,-107.25,-90.0,top
C33,0.47u,C_0402_1005Metric,152.25,-107.25,-90.0,top
C34,0.47u,C_0402_1005Metric,148.5,-107.25,-90.0,top
C35,0.47u,C_0402_1005Metric,147.25,-107.25,-90.0,top
C36,0.47u,C_0402_1005Metric,143.75,-90.75,180.0,top
C37,0.47u,C_0402_1005Metric,143.75,-92.0,180.0,top
C38,0.47u,C_0402_1005Metric,143.75,-93.25,180.0,top
C39,0.47u,C_0402_1005Metric,143.75,-94.5,180.0,top
C4,0.47u,C_0402_1005Metric,163.5,-107.25,-90.0,top
C40,4.7u,C_0402_1005Metric,143.75,-88.25,180.0,top
C41,4.7u,C_0402_1005Metric,143.75,-89.5,180.0,top
C42,47u,C_1206_3216Metric,142.25,-85.75,180.0,top
C43,47u,C_1206_3216Metric,173.75,-107.5,0.0,top
C44,22u,C_0603_1608Metric,128.475,-115.5,180.0,top
C45,22u,C_0603_1608Metric,128.475,-113.5,0.0,top
C46,22u,C_0603_1608Metric,131.975,-113.5,180.0,top
C47,1u,C_0402_1005Metric,128.475,-107.0,180.0,top
C48,22u,C_0603_1608Metric,131.975,-115.5,180.0,top
C49,22u,C_0603_1608Metric,132.225,-99.5,180.0,top
C5,0.47u,C_0402_1005Metric,164.75,-107.25,-90.0,top
C50,22u,C_0603_1608Metric,128.725,-99.5,0.0,top
C51,100n,C_0402_1005Metric,129.75,-128.5,-90.0,top
C52,100n,C_0402_1005Metric,130.5,-119.0,90.0,top
C53,100n,C_0402_1005Metric,126.0,-125.5,-90.0,top
C54,10n,C_0402_1005Metric,120.0,-115.0,90.0,top
C55,47p,C_0402_1005Metric,120.0,-117.5,90.0,top
C56,47p,C_0402_1005Metric,120.0,-120.0,-90.0,top
C57,100n,C_0402_1005Metric,129.5,-72.52,90.0,top
C58,1u,C_0402_1005Metric,115.0,-100.25,-90.0,top
C59,1u,C_0402_1005Metric,115.0,-91.5,90.0,top
C6,0.47u,C_0402_1005Metric,169.75,-107.25,-90.0,top
C60,1u,C_0402_1005Metric,126.0,-99.0,90.0,top
C61,1u,C_0402_1005Metric,126.0,-91.5,90.0,top
C62,10n,C_0402_1005Metric,127.5,-96.5,90.0,top
C63,1u,C_0402_1005Metric,126.0,-96.5,90.0,top
C64,10n,C_0402_1005Metric,115.0,-95.27,-90.0,top
C65,100u,C_1206_3216Metric,142.25,-103.25,180.0,top
C66,4.7u,C_0402_1005Metric,143.75,-99.5,180.0,top
C67,4.7u,C_0402_1005Metric,143.75,-100.75,180.0,top
C68,0.47u,C_0402_1005Metric,143.75,-95.75,180.0,top
C69,0.47u,C_0402_1005Metric,143.75,-97.0,180.0,top
C7,0.47u,C_0402_1005Metric,168.5,-107.25,-90.0,top
C70,0.47u,C_0402_1005Metric,143.75,-98.25,180.0,top
C71,47u,C_1206_3216Metric,140.5,-108.75,90.0,top
C72,4.7u,C_0402_1005Metric,159.75,-107.25,-90.0,top
C73,4.7u,C_0402_1005Metric,158.5,-107.25,-90.0,top
C74,0.47u,C_0402_1005Metric,157.25,-107.25,-90.0,top
C75,0.47u,C_0402_1005Metric,156.0,-107.25,-90.0,top
C76,0.47u,C_0402_1005Metric,154.75,-107.25,-90.0,top
C77,0.47u,C_0402_1005Metric,161.0,-107.25,-90.0,top
C78,0.47u,C_0402_1005Metric,162.25,-107.25,-90.0,top
C79,0.47u,C_0402_1005Metric,156.75,-78.75,90.0,top
C8,0.47u,C_0402_1005Metric,172.25,-101.5,0.0,top
C80,10n,C_0402_1005Metric,158.0,-78.75,90.0,top
C81,47u,C_1206_3216Metric,162.0,-77.25,90.0,top
C82,0.47u,C_0402_1005Metric,159.5,-78.75,90.0,top
C83,4.7u,C_0402_1005Metric,148.5,-78.75,90.0,top
C84,100n,C_0402_1005Metric,147.25,-78.75,90.0,top
C85,100n,C_0402_1005Metric,146.0,-78.75,90.0,top
C86,100n,C_0402_1005Metric,155.0,-78.75,90.0,top
C87,100n,C_0402_1005Metric,151.25,-78.75,90.0,top
C88,4.7u,C_0402_1005Metric,153.75,-78.75,90.0,top
C9,0.47u,C_0402_1005Metric,172.25,-100.25,0.0,top
D1,LED,LED_0805_2012Metric,131.75,-129.0,-90.0,top
D2,LED,LED_0805_2012Metric,126.5,-129.0,-90.0,top
FB1,FerriteBead,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,122.25,-115.25,0.0,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,127.0,-63.0,0.0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,127.0,-63.0,180.0,bottom
FID3,Fiducial,Fiducial_0.5mm_Mask1mm,198.0,-130.0,0.0,top
FID4,Fiducial,Fiducial_0.5mm_Mask1mm,198.0,-130.0,180.0,bottom
J1,QSH-030-01-X-D-A-XX,SAMTEC_QSH-030-01-X-D-A-XX,157.975,-123.0,0.0,top
J2,QSH-030-01-X-D-A-XX,SAMTEC_QSH-030-01-X-D-A-XX,157.975,-63.0,0.0,top
J3,878321420,CONN_87832-1420_MOL,119.5,-78.0,90.0,top
L1,2.2u,L_Bourns-SRN4018,124.475,-110.75,-90.0,top
L2,2.2u,L_Bourns-SRN4018,135.975,-110.75,-90.0,top
L3,2.2u,L_Bourns-SRN4018,133.475,-103.5,90.0,top
L4,2.2u,L_Bourns-SRN4018,127.475,-103.5,90.0,top
LED1,SLS0391FR1A1GD_C2913076,LED-SEG-SMD_10P-L13.0-W9.8-P1.88-S13.70-BL,184.0,-93.0,0.0,top
LED2,SLS0391FR1A1GD_C2913076,LED-SEG-SMD_10P-L13.0-W9.8-P1.88-S13.70-BL,196.0,-93.0,0.0,top
LED3,SLS0391FR1A1GD_C2913076,LED-SEG-SMD_10P-L13.0-W9.8-P1.88-S13.70-BL,208.0,-93.0,0.0,top
Q1,TPNTK3139PT1G,SOT-723_L1.2-W0.8-P0.40-LS1.2-BR,184.0,-103.0,-90.0,top
Q10,TPNTK3139PT1G,SOT-723_L1.2-W0.8-P0.40-LS1.2-BR,196.0,-103.0,-90.0,top
Q11,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,196.25,-80.0,180.0,top
Q12,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,199.25,-80.0,180.0,top
Q13,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,197.75,-80.0,180.0,top
Q14,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,194.75,-80.0,180.0,top
Q15,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,191.75,-80.0,180.0,top
Q16,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,193.25,-80.0,180.0,top
Q17,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,190.25,-80.0,180.0,top
Q18,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,200.75,-80.0,180.0,top
Q19,TPNTK3139PT1G,SOT-723_L1.2-W0.8-P0.40-LS1.2-BR,208.0,-103.0,-90.0,top
Q2,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,184.25,-80.0,180.0,top
Q20,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,208.25,-80.0,180.0,top
Q21,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,211.25,-80.0,180.0,top
Q22,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,209.75,-80.0,180.0,top
Q23,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,206.75,-80.0,180.0,top
Q24,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,203.75,-80.0,180.0,top
Q25,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,205.25,-80.0,180.0,top
Q26,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,202.25,-80.0,180.0,top
Q27,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,212.75,-80.0,180.0,top
Q3,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,187.25,-80.0,180.0,top
Q4,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,185.75,-80.0,180.0,top
Q5,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,182.75,-80.0,180.0,top
Q6,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,179.75,-80.0,180.0,top
Q7,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,181.25,-80.0,180.0,top
Q8,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,178.25,-80.0,180.0,top
Q9,2N7002M3T5G-ES,SOT-723_L1.2-W0.8-P0.80-LS1.2-BL,188.75,-80.0,180.0,top
R1,0,R_0402_1005Metric,134.0,-72.5,90.0,top
R10,0,R_0402_1005Metric,132.0,-119.0,90.0,top
R11,27.4,R_0402_1005Metric,125.25,-117.25,90.0,top
R12,0,R_0402_1005Metric,127.5,-119.0,90.0,top
R13,27.4,R_0402_1005Metric,125.25,-120.25,-90.0,top
R14,100,R_0402_1005Metric,128.5,-128.75,90.0,top
R15,100,R_0402_1005Metric,131.75,-131.5,180.0,top
R16,100,R_0402_1005Metric,126.5975,-131.5,180.0,top
R17,1k,R_0402_1005Metric,127.5,-94.0,90.0,top
R18,1k,R_0402_1005Metric,129.0,-94.0,-90.0,top
R19,240,R_0402_1005Metric,126.0,-94.0,-90.0,top
R2,0,R_0402_1005Metric,131.0,-82.0,-90.0,top
R20,100,R_0402_1005Metric,152.5,-78.75,90.0,top
R21,100k,R_0402_1005Metric,182.25,-103.25,90.0,top
R22,68,R_0402_1005Metric,184.25,-82.25,-90.0,top
R23,68,R_0402_1005Metric,187.25,-82.25,-90.0,top
R24,68,R_0402_1005Metric,185.75,-82.25,-90.0,top
R25,68,R_0402_1005Metric,182.75,-82.25,-90.0,top
R26,68,R_0402_1005Metric,179.75,-82.25,-90.0,top
R27,68,R_0402_1005Metric,181.25,-82.25,-90.0,top
R28,68,R_0402_1005Metric,178.25,-82.25,-90.0,top
R29,68,R_0402_1005Metric,188.75,-82.25,-90.0,top
R3,0,R_0402_1005Metric,132.5,-82.0,-90.0,top
R30,100k,R_0402_1005Metric,184.0,-77.25,90.0,top
R31,100k,R_0402_1005Metric,187.0,-77.25,90.0,top
R32,100k,R_0402_1005Metric,185.5,-77.25,90.0,top
R33,100k,R_0402_1005Metric,182.5,-77.25,90.0,top
R34,100k,R_0402_1005Metric,179.5,-77.25,90.0,top
R35,100k,R_0402_1005Metric,181.0,-77.25,90.0,top
R36,100k,R_0402_1005Metric,178.0,-77.25,90.0,top
R37,100k,R_0402_1005Metric,188.5,-77.25,90.0,top
R38,100k,R_0402_1005Metric,194.25,-103.25,90.0,top
R39,68,R_0402_1005Metric,196.25,-82.25,-90.0,top
R4,0,R_0402_1005Metric,131.0,-72.5,90.0,top
R40,68,R_0402_1005Metric,199.25,-82.25,-90.0,top
R41,68,R_0402_1005Metric,197.75,-82.25,-90.0,top
R42,68,R_0402_1005Metric,194.75,-82.25,-90.0,top
R43,68,R_0402_1005Metric,191.75,-82.25,-90.0,top
R44,68,R_0402_1005Metric,193.25,-82.25,-90.0,top
R45,68,R_0402_1005Metric,190.25,-82.25,-90.0,top
R46,68,R_0402_1005Metric,200.75,-82.25,-90.0,top
R47,100k,R_0402_1005Metric,196.0,-77.25,90.0,top
R48,100k,R_0402_1005Metric,199.0,-77.25,90.0,top
R49,100k,R_0402_1005Metric,197.5,-77.25,90.0,top
R5,0,R_0402_1005Metric,129.5,-82.0,-90.0,top
R50,100k,R_0402_1005Metric,194.5,-77.25,90.0,top
R51,100k,R_0402_1005Metric,191.5,-77.25,90.0,top
R52,100k,R_0402_1005Metric,193.0,-77.25,90.0,top
R53,100k,R_0402_1005Metric,190.0,-77.25,90.0,top
R54,100k,R_0402_1005Metric,200.5,-77.25,90.0,top
R55,100k,R_0402_1005Metric,206.25,-103.25,90.0,top
R56,68,R_0402_1005Metric,208.25,-82.25,-90.0,top
R57,68,R_0402_1005Metric,211.25,-82.25,-90.0,top
R58,68,R_0402_1005Metric,209.75,-82.25,-90.0,top
R59,68,R_0402_1005Metric,206.75,-82.25,-90.0,top
R6,0,R_0402_1005Metric,132.5,-72.5,90.0,top
R60,68,R_0402_1005Metric,203.75,-82.25,-90.0,top
R61,68,R_0402_1005Metric,205.25,-82.25,-90.0,top
R62,68,R_0402_1005Metric,202.25,-82.25,-90.0,top
R63,68,R_0402_1005Metric,212.75,-82.25,-90.0,top
R64,100k,R_0402_1005Metric,208.0,-77.25,90.0,top
R65,100k,R_0402_1005Metric,211.0,-77.25,90.0,top
R66,100k,R_0402_1005Metric,209.5,-77.25,90.0,top
R67,100k,R_0402_1005Metric,206.5,-77.25,90.0,top
R68,100k,R_0402_1005Metric,203.5,-77.25,90.0,top
R69,100k,R_0402_1005Metric,205.0,-77.25,90.0,top
R7,10k,R_0402_1005Metric,125.975,-107.0,180.0,top
R70,100k,R_0402_1005Metric,202.0,-77.25,90.0,top
R71,100k,R_0402_1005Metric,212.5,-77.25,90.0,top
R72,0,R_0402_1005Metric,185.75,-103.25,90.0,top
R73,0,R_0402_1005Metric,197.75,-103.25,90.0,top
R74,0,R_0402_1005Metric,209.75,-103.25,90.0,top
R75,0,R_0402_1005Metric,199.5,-113.5,180.0,top
R76,100k,R_0402_1005Metric,188.0,-121.25,180.0,top
R77,100k,R_0402_1005Metric,187.99,-118.75,180.0,top
R78,100k,R_0402_1005Metric,188.0,-116.25,180.0,top
R79,100k,R_0402_1005Metric,188.0,-123.75,180.0,top
R8,0,R_0402_1005Metric,133.5,-119.0,90.0,top
R81,100k,R_0402_1005Metric,191.0,-108.0,-90.0,top
R82,100k,R_0402_1005Metric,202.0,-108.0,-90.0,top
R83,100k,R_0402_1005Metric,205.0,-108.0,-90.0,top
R86,0,R_0402_1005Metric,194.0,-108.0,-90.0,top
R9,0,R_0402_1005Metric,129.0,-119.0,90.0,top
SW1,SMXS-04K-TP,SW-SMD_SMXS-04K-TP,195.0,-120.0,-90.0,top
SW2,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,187.0,-108.0,180.0,top
SW3,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,198.0,-108.0,180.0,top
SW4,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,209.0,-108.0,180.0,top
U1,XC7A35T-FGG484,Xilinx_FGG484,158.0,-93.0,0.0,top
U2,MP5470GL-0000-P,QFN-3x4_MP5470_MNP,130.2639,-110.234801,90.0,top
U3,TPUSBLC6-4SC6,SOT-23-6_Handsoldering,122.5,-118.75,90.0,top
U4,FT230XQ,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,130.0,-124.0,-90.0,top
U5,MX25L3233FZN,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,132.0,-77.15,90.0,top
U6,MT41K256M16TW-107:P,FBGA96_8X14_MRN,120.5,-95.5,180.0,top
USB1,USB-MR-D-037,MICRO-USB-SMD_DEALON_USB-MR-D-037,116.85,-119.0,-90.0,top
